"","Date_Time","Species","Ind","Rec","TRJ","Exp","Session","GS","Sex","ExT","Traj_num","T","RH","c","ta_mic","t_emit","Raw_X","Raw_Y","Raw_Z","Int01_X","Int01_Y","Int01_Z","Int01_angle2mic","Int01_speed","Int01_vel2mic","dur_Th12","dur_E12","FS_Th12","FS_E12","F_MAmp_Th12","F_MAmp_E12","PF_Th12","PF_E12","FE_Th12","FE_E12","LF12_Th12","LF12_E12","HF12_Th12","HF12_E12","peSL_dB_Th12","peSL_dB_E12","rmsSL_Th12","rmsSL_E12","SNR_Th12","SNR_E12","rmsSL_Th12_10cm","rmsSL_E12_10cm","E1","E2","BW","Harmonic","Q_0.75","Q_0.9","PC","Mean_dur_E12","Mean_PF_E12","Mean_LF12_E12","Mean_rmsSL_E12","AAFp","AAmeanFp","AALoF12","AAmeanLoF12","RHfix","thrDur2","avrgDD","realDD2","realDD","frqDD","rmsDD","durDD","TG"
"1",2019-04-09 22:54:48,"M.oxyotus","001","2","1","1","2019-04-09_001","M.oxyotus","H","20","2",19.8,98,344.7,2.3786,2.3731,0.14,1.37,2.45,0.14,1.37,2.45,45.13,3.14,2.21,2.1,1.5,95.46,83.25,70.83,70.83,54,54.5,47.98,50.48,45250,46000,89750,86250,87.8,87.8,82.8,83.8,22.3,23.32,102.8,103.8,106.022192947339,105.560912590557,40.25,"1st",102.925,103.45,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.90769056109475,-1.88085728331877,-1.4597062659536,-1.45419535825361,"real",20.7058823529412,0.74,0.59,0.61,0.74,0.61,0.71,30
"5",2019-04-09 22:54:48,"M.oxyotus","001","2","2","1","2019-04-09_001","M.oxyotus","H","20","2",19.8,98,344.7,6.2468,6.2426,0.27,0.76,2.36,0.27,0.76,2.36,46.04,3.21,2.22,1.8,1.4,89.25,81.18,53.91,53.91,53.5,53.75,48.75,50.77,45500,46000,86750,81750,88.1,88.1,82.3,83,22.3,23.32,102.3,103,104.852725051033,104.461280356782,35.75,"1st",102.925,102.97,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.86745884168068,-1.88085728331877,-1.4597062659536,-1.45419535825361,"real",21.0588235294118,0.74,0.55,0.58,0.74,0.58,0.7,30
"7",2019-04-09 22:55:01,"M.oxyotus","001","3","1","1","2019-04-09_001","M.oxyotus","H","20","1",19.8,98,344.7,2.4686,2.4616,-0.56,1.99,2.41,-0.56,1.99,2.41,29.34,2.64,2.3,2.6,1.9,99.35,86.18,81.62,81.62,54.5,54.5,54.71,99.77,46000,46250,120500,120500,96.2,96.2,90.5,91.5,29.32,30.42,110.5,111.5,114.649733479708,114.287536009528,74.25,"1st",105.025,108.45,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.90769056109475,-1.88085728331877,-1.47258093018499,-1.45419535825361,"real",19.2941176470588,0.74,0.92,0.89,0.74,0.89,0.76,30
"13",2019-04-09 22:55:12,"M.oxyotus","001","4","1","1","2019-04-09_001","M.oxyotus","H","20","3",19.8,98,344.7,7.524,7.5157,1.36,2.42,1.86,1.36,2.42,1.86,31.1,3.51,3.01,2.6,2,100.1,86.79,80,80,53.25,53.5,98.23,50.77,45250,45750,115500,115750,95.4,95.4,89.7,90.5,17.84,18.29,109.7,110.5,113.849733479708,113.51029995664,70,"1st",108.7,109.78,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.85407286697652,-1.88085728331877,-1.44685390608063,-1.45419535825361,"real",18.9411764705882,0.74,0.9,0.85,0.74,0.85,0.78,30
"16",2019-04-09 22:55:12,"M.oxyotus","001","4","2","1","2019-04-09_001","M.oxyotus","H","20","3",19.8,98,344.7,3.3803,3.3713,1.46,2.59,1.91,1.46,2.59,1.91,27.8,3.38,3,2.5,1.8,99.09,84.45,80.31,80.31,53.75,54,97.27,99.49,45250,45500,114250,114000,93.9,93.9,88.8,89.7,17.84,18.29,108.8,109.7,112.77940008672,112.252725051033,68.5,"1st",109.6,109.66,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.88085728331877,-1.88085728331877,-1.43402423508336,-1.45419535825361,"real",19.6470588235294,0.74,0.83,0.82,0.74,0.82,0.75,30
"19",2019-04-09 22:55:12,"M.oxyotus","001","4","3","1","2019-04-09_001","M.oxyotus","H","20","3",19.8,98,344.7,0.103,0.0992,0.23,0.68,2.26,0.23,0.68,2.26,53.32,3.57,2.13,1.8,1.4,87.33,80.86,71,71,53.5,53.75,48.21,51,45250,46000,120000,120500,89.5,89.5,84.1,84.6,17.84,18.29,104.1,104.6,106.652725051033,106.061280356782,74.5,"1st",104.175,104.43,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.86745884168068,-1.88085728331877,-1.4597062659536,-1.45419535825361,"real",21.0588235294118,0.74,0.6,0.63,0.74,0.63,0.7,30
"20",2019-04-09 22:55:21,"M.oxyotus","001","5","1","1","2019-04-09_001","M.oxyotus","H","20","1",19.8,98,344.7,0.3024,0.2934,1.61,2.47,2.03,1.61,2.47,2.03,22.74,3.37,3.1,2.5,1.9,99.1,86.4,80.7,80.7,54,54,96.94,58.46,45250,45750,120750,120750,95.2,95.2,89.5,90.3,29.02,30.05,109.5,110.3,113.47940008672,113.087536009528,75,"1st",109.55,110,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.88085728331877,-1.88085728331877,-1.44685390608063,-1.45419535825361,"real",19.2941176470588,0.74,0.87,0.84,0.74,0.84,0.76,30
"24",2019-04-09 23:02:59,"M.keaysi","002","1","1","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,3.4586,3.4494,0.03,3.15,1.34,0.03,3.15,1.34,12.66,2.97,2.9,2.2,1.5,117.5,100.15,82.42,82.42,74.5,74.5,60.5,62.47,56750,58750,114250,103750,103.5,103.5,96.4,97.4,24.58,25.61,116.4,117.4,119.824226808222,119.160912590557,45,"1st",115.95,116.75,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.0060302943082,-3.05563705688044,-2.13274994106902,-2.13026476004826,"real",19.6538461538462,0.95,1.07,1.06,0.95,1.05,0.96,30
"30",2019-04-09 23:02:59,"M.keaysi","002","1","2","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,4.6427,4.6392,0.91,0.04,1.89,0.91,0.04,1.89,43.28,1.79,1.31,1.6,1,116.97,99.82,81.25,81.25,81,81,61.5,65.46,59000,63000,112000,103500,100.2,100.2,93.2,94.6,24.58,25.61,113.2,114.6,115.241199826559,114.6,40.5,"1st",113.05,114.1,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.37051436088144,-3.05563705688044,-2.36629917536872,-2.13026476004826,"real",21.7692307692308,0.95,0.84,0.91,0.92,0.93,0.88,30
"37",2019-04-09 23:02:59,"M.keaysi","002","1","3","1","2019-04-09_002","M.keaysi","M","20","4",19.9,98.9,344.8,8.2393,8.2365,0.83,0.26,1.61,0.83,0.26,1.61,37.17,2.26,1.81,2,1.5,113.71,98.62,81.25,81.25,81.25,81.25,59.75,61.97,56250,57750,107000,103000,101.8,101.8,94.4,95.4,24.58,25.61,114.4,115.4,117.41029995664,117.160912590557,45.25,"1st",115.25,115.34,"Si",1.41818181818182,75.3863636363636,58704.5454545455,94.9545454545455,-3.38456415020457,-3.05563705688044,-2.07814748422769,-2.13026476004826,"real",19.6538461538462,0.95,0.95,0.94,0.92,0.97,0.96,30
