GS;Ind;Exp 1;Exp 2;Exp 3
E.brasiliensis;17;15;12;12
E.brasiliensis;42;3;1;2
E.brasiliensis;43;8;13;4
E.brasiliensis;81;10;14;4
M.group;4;9;8;8
M.group;28;3;4;3
M.group;45;5;3;3
M.group;46;10;8;7
M.group;48;7;4;3
M.group;80;5;6;0
M.group;82;5;5;8
M.group;107;11;4;6
M.keaysi;2;11;16;7
M.keaysi;5;3;3;3
M.keaysi;8;2;3;3
M.keaysi;9;1;9;5
M.keaysi;18;7;12;5
M.keaysi;19;6;7;5
M.keaysi;27;8;8;7
M.keaysi;29;1;3;4
M.keaysi;30;1;6;3
M.keaysi;31;7;6;6
M.keaysi;35;1;3;4
M.keaysi;36;2;0;4
M.keaysi;37;6;9;2
M.keaysi;40;8;3;3
M.keaysi;41;7;8;1
M.keaysi;47;5;9;5
M.keaysi;50;7;3;9
M.keaysi;52;2;1;4
M.keaysi;53;4;9;11
M.keaysi;58;4;3;3
M.keaysi;71;3;3;4
M.keaysi;72;5;12;4
M.keaysi;76;4;8;7
M.keaysi;84;5;5;6
M.keaysi;90;3;6;12
M.keaysi;93;4;4;0
M.keaysi;100;5;5;5
M.keaysi;101;8;8;7
M.keaysi;109;10;7;6
M.oxyotus;1;7;7;12
M.oxyotus;56;10;3;0
M.oxyotus;95;5;1;8
M.riparius;3;10;8;11
M.riparius;12;3;3;0
M.riparius;13;8;5;6
M.riparius;14;1;5;9
M.riparius;22;1;0;0
M.riparius;89;11;5;8
M.riparius;99;7;5;7
M.riparius;105;5;10;3
M.riparius;113;14;11;10
